iter	Passed	Remaining
921	1099852	2478842
922	1101010	2477572
923	1102204	2476382
924	1103395	2475184
925	1104542	2473888
926	1105743	2472713
927	1106907	2471456
928	1108126	2470321
929	1109285	2469055
930	1110455	2467811
931	1111602	2466517
932	1112810	2465358
933	1114041	2464249
934	1115250	2463093
935	1116404	2461814
936	1117649	2460736
937	1118920	2459715
938	1120036	2458355
939	1121216	2457132
940	1122387	2455892
941	1123556	2454647
942	1124688	2453324
943	1125834	2452029
944	1126978	2450730
945	1128080	2449341
946	1129277	2448158
947	1130398	2446812
948	1131603	2445646
949	1132810	2444484
950	1134147	2443605
951	1135327	2442385
952	1136535	2441225
953	1137671	2439910
954	1138815	2438614
955	1140011	2437431
956	1141131	2436084
957	1142273	2434784
958	1143478	2433618
959	1144666	2432415
960	1145768	2431031
961	1146903	2429719
962	1148058	2428447
963	1149201	2427150
964	1150396	2425965
965	1151546	2424685
966	1152687	2423385
967	1153858	2422148
968	1155017	2420888
969	1156160	2419594
970	1157340	2418377
971	1158505	2417128
972	1159624	2415784
973	1160776	2414509
974	1161897	2413170
975	1163057	2411914
976	1164192	2410605
977	1165443	2409536
978	1166606	2408286
979	1167790	2407079
980	1168979	2405881
981	1170166	2404679
982	1171336	2403444
983	1172505	2402206
984	1173797	2401220
985	1174950	2399948
986	1176139	2398751
987	1177327	2397553
988	1178473	2396268
989	1179622	2394991
990	1180783	2393737
991	1182020	2392638
992	1183167	2391357
993	1184343	2390133
994	1185506	2388885
995	1186725	2387749
996	1187884	2386492
997	1189041	2385232
998	1190162	2383898
999	1191275	2382551
1000	1192452	2381331
1001	1193643	2380139
1002	1194941	2379160
1003	1196163	2378030
1004	1197365	2376859
1005	1198543	2375641
1006	1199726	2374434
1007	1200884	2373176
1008	1202057	2371948
1009	1203289	2370837
1010	1204519	2369722
1011	1205654	2368419
1012	1206854	2367244
1013	1207964	2365894
1014	1209101	2364597
1015	1210222	2363270
1016	1211367	2361987
1017	1212521	2360724
1018	1213698	2359505
